,radius,movement
439,0.05943302791362329,[  3.45646885 -13.4379562 ]
440,0.07216776536473318,[  2.68885222 -14.74559956]
441,0.060720535337452745,[  1.35760616 -13.62617817]
442,0.10759466645990536,[  3.01041231 -15.51235119]
443,0.06342053075951334,[  0.44230769 -12.52564103]
444,0.06301267745665633,[  5.72567998 -11.22094258]
445,0.061772962658199274,[  3.92101256 -12.78578226]
446,0.05128231936691707,[ -2.07703081 -10.10084034]
447,0.09780352953605045,[ -0.42221885 -14.42208597]
448,0.06280775763769725,[ -2.23200585 -11.2294483 ]
449,0.061772962658199274,[ -1.32778127 -12.44044626]
450,0.06906427183764484,[ -0.44033885 -13.12029044]
451,0.11766700947732267,[  1.72351485 -13.43878282]
452,0.06301267745665633,[  3.217941   -12.30790402]
453,0.06697954565294054,[  4.19816092 -14.63862069]
454,0.09458718713952648,[  0.9564239  -14.92707554]
455,0.05855896518773173,[  4.74935661 -11.44542564]
456,0.04248313847471833,[ 0.65357143 -8.94285714]
457,0.06442886950523666,[ -3.15417178 -13.95913281]
458,0.0611436800759377,[  3.00025927 -13.06912108]
459,0.06029442105290566,[ -4.08290205 -13.17188998]
460,0.11711793037546346,[  1.65338736 -13.04597133]
461,0.06156391649976791,[ -1.00878326 -11.45440455]
462,0.057894758843226174,[  2.65939177 -12.98801431]
463,0.06093247502315768,[ -2.7629199  -10.04392765]
464,0.06321693302460576,[ -3.78182932 -13.12666394]
465,0.1125144545532508,[ -0.27497454 -13.32752037]
466,0.06029442105290566,[  2.58170804 -12.25147754]
467,0.059215721782315864,[  2.9120915  -12.80043573]
468,0.1135409634909072,[ -3.57810811 -14.91335135]
469,0.06239589904724462,[ -4.85434938 -12.92777877]
470,0.06601018127508748,[  0.22707101 -12.41575092]
471,0.058778699412617694,[  6.10626866 -12.84065672]
472,0.05026672733058051,[  2.29197995 -11.42427497]
473,0.05699711131620415,[ -2.48522589 -11.47985348]
474,0.11766700947732267,[  1.69115383 -14.62216455]
475,0.0596495423935709,[  5.48420939 -11.75805754]
476,0.061354158082476434,[  2.28467153 -14.0749925 ]
477,0.049491358580910555,[ -0.02105263 -12.01174089]
478,0.07323172101230795,[  1.99868881 -14.30580604]
479,0.06774505102956152,[ -1.14754414 -12.70276083]
480,0.10925921316552989,[ -8.02918104 -14.22819369]
481,0.06301267745665633,[  0.10671121 -12.13336086]
482,0.0567704817454536,[ -5.70023529 -13.48268908]
483,0.056085098691793525,[  3.28833857 -12.9446576 ]
484,0.06342053075951334,[ -2.55128205 -12.8974359 ]
485,0.039331743501314846,[-0.26939891 -8.40327869]
486,0.11744768587662581,[  0.78547303 -14.25495983]
487,0.05986527381164558,[ -2.06763381 -14.38165072]
488,0.05699711131620415,[  3.84755053 -11.6923604 ]
489,0.0572228433335207,[ -1.79350216 -13.23352486]
490,0.12165319497748163,[ -0.50634903 -13.18781132]
491,0.06925068046773973,[ -1.41547682 -12.59509959]
492,0.05227818553444664,[-1.26773585 -9.31264151]
493,0.06868993698426523,[  3.26009012 -12.73377433]
494,0.11875755187416592,[  1.63782057 -14.84103948]
495,0.05631448655585085,[ -1.80153037 -12.36123067]
496,0.11170953754245573,[  1.51756198 -15.4       ]
497,0.07767396978864649,[  0.75705396 -15.0680721 ]
498,0.0399818990096143,[-1.87519201 -7.88824885]
499,0.07216776536473318,[  0.47262822 -13.89669443]
500,0.034811000225527716,[ -1.26241135 -10.87174941]
501,0.060080230603120906,[  2.92034632 -12.41385281]
502,0.1139942226324083,[  3.07420478 -13.84890834]
503,0.05811700441605883,[  4.7757987  -11.65852417]
504,0.05539123570498819,[  4.47598601 -12.53781513]
505,0.06402743961897149,[ -0.73748651 -13.12340441]
